"Year"	"BorX"	"BorY"	"Species"	"Cover"
"2015"	20	560	"soam"	1
"2015"	20	580	"lylu"	3
"2015"	20	580	"stro"	2
"2015"	20	580	"vial"	4
"2015"	20	580	"drsp"	3
"2015"	20	580	"maca"	1
"2015"	20	580	"oxmo"	1
"2015"	20	580	"clbo"	2
"2015"	20	580	"trer"	1
"2015"	20	600	"vial"	4
"2015"	20	600	"drsp"	2
"2015"	20	600	"lylu"	2
"2015"	20	600	"soam"	1
"2015"	20	600	"sapu"	1
"2015"	20	600	"clbo"	1
"2015"	20	600	"maca"	2
"2015"	20	600	"rupu"	1
"2015"	20	600	"stro"	1
"2015"	20	600	"oxmo"	2
"2015"	20	620	"clbo"	1
"2015"	20	620	"vial"	6
"2015"	20	620	"lylu"	2
"2015"	20	620	"maca"	2
"2015"	20	620	"grass"	1
"2015"	20	620	"soam"	1
"2015"	20	620	"oxmo"	1
"2015"	20	620	"drsp"	2
"2015"	20	620	"stro"	1
"2015"	20	620	"trer"	1
"2015"	20	620	"asac"	1
"2015"	20	620	"thpu"	1
"2015"	20	640	"clbo"	1
"2015"	20	640	"drsp"	2
"2015"	20	640	"stro"	2
"2015"	20	640	"vial"	3
"2015"	20	640	"drph"	1
"2015"	20	640	"asac"	1
"2015"	20	640	"maca"	1
"2015"	20	640	"vevi"	1
"2015"	20	640	"stam"	1
"2015"	140	260	"mara"	2
"2015"	20	640	"grass"	1
"2015"	20	640	"lylu"	2
"2015"	20	640	"trer"	1
"2015"	20	640	"oxmo"	1
"2015"	20	660	"clbo"	2
"2015"	20	660	"drsp"	3
"2015"	20	660	"vial"	3
"2015"	20	660	"vevi"	1
"2015"	20	660	"trer"	1
"2015"	20	660	"lylu"	2
"2015"	20	660	"stro"	1
"2015"	20	660	"oxmo"	1
"2015"	20	660	"stam"	1
"2015"	20	660	"maca"	1
"2015"	20	680	"arnu"	3
"2015"	20	680	"drsp"	4
"2015"	20	680	"lylu"	4
"2015"	20	680	"soam"	1
"2015"	20	680	"clbo"	2
"2015"	20	680	"maca"	1
"2015"	20	680	"stro"	1
"2015"	20	680	"oxmo"	1
"2015"	20	680	"vial"	3
"2015"	20	680	"trer"	1
"2015"	20	700	"stro"	1
"2015"	20	700	"maca"	3
